match_id,date,league_code,season,group_id,home_team,away_team,home_team_id,away_team_id,home_goals,away_goals,result,model,cutoff,p_home,p_draw,p_away
4038178,2026-03-28,NL,2026,1,Idrottsföreningen Kamraterna Vasa,Helsingin Jalkapalloklubi,60691,60682,0,3,A,b0_base_rate,2026-03-23,0.5348837209302325,0.12790697674418605,0.3372093023255814
4038180,2026-03-28,NL,2026,1,Kuopion Palloseura,Helsingin Palloseura,157420,60781,0,0,D,b0_base_rate,2026-03-23,0.5348837209302325,0.12790697674418605,0.3372093023255814
4038179,2026-03-28,NL,2026,1,Ilves,PK-35 Vantaa,60776,60671,2,5,A,b0_base_rate,2026-03-23,0.5348837209302325,0.12790697674418605,0.3372093023255814
4038181,2026-03-28,NL,2026,1,Åland United,IF Gnistan,60532,35209545,6,1,H,b0_base_rate,2026-03-23,0.5348837209302325,0.12790697674418605,0.3372093023255814
4038178,2026-03-28,NL,2026,1,Idrottsföreningen Kamraterna Vasa,Helsingin Jalkapalloklubi,60691,60682,0,3,A,g0_logistic_dppg,2026-03-23,0.5348837209302325,0.12790697674418605,0.3372093023255814
4038180,2026-03-28,NL,2026,1,Kuopion Palloseura,Helsingin Palloseura,157420,60781,0,0,D,g0_logistic_dppg,2026-03-23,0.5348837209302325,0.12790697674418605,0.3372093023255814
4038179,2026-03-28,NL,2026,1,Ilves,PK-35 Vantaa,60776,60671,2,5,A,g0_logistic_dppg,2026-03-23,0.5348837209302325,0.12790697674418605,0.3372093023255814
4038181,2026-03-28,NL,2026,1,Åland United,IF Gnistan,60532,35209545,6,1,H,g0_logistic_dppg,2026-03-23,0.5348837209302325,0.12790697674418605,0.3372093023255814
4038178,2026-03-28,NL,2026,1,Idrottsföreningen Kamraterna Vasa,Helsingin Jalkapalloklubi,60691,60682,0,3,A,poisson_plain,2026-03-23,0.009430176788903035,0.036832279034002394,0.9537375441770946
4038180,2026-03-28,NL,2026,1,Kuopion Palloseura,Helsingin Palloseura,157420,60781,0,0,D,poisson_plain,2026-03-23,0.7032903058901394,0.15889698487606246,0.13781270923379815
4038179,2026-03-28,NL,2026,1,Ilves,PK-35 Vantaa,60776,60671,2,5,A,poisson_plain,2026-03-23,0.4673749841650481,0.22333788980432626,0.3092871260306257
4038181,2026-03-28,NL,2026,1,Åland United,IF Gnistan,60532,35209545,6,1,H,poisson_plain,2026-03-23,0.5835389335317198,0.2003882014476888,0.21607286502059142
4038178,2026-03-28,NL,2026,1,Idrottsföreningen Kamraterna Vasa,Helsingin Jalkapalloklubi,60691,60682,0,3,A,dc_best,2026-03-23,0.023228375180834683,0.0502865686024516,0.9264850562167137
4038180,2026-03-28,NL,2026,1,Kuopion Palloseura,Helsingin Palloseura,157420,60781,0,0,D,dc_best,2026-03-23,0.7394803219074203,0.13079581211202515,0.12972386598055452
4038179,2026-03-28,NL,2026,1,Ilves,PK-35 Vantaa,60776,60671,2,5,A,dc_best,2026-03-23,0.5207179235642581,0.18609025250620154,0.29319182392954035
4038181,2026-03-28,NL,2026,1,Åland United,IF Gnistan,60532,35209545,6,1,H,dc_best,2026-03-23,0.6275112500047875,0.1664331132083481,0.20605563678686456
4038182,2026-04-02,NL,2026,1,Helsingin Jalkapalloklubi,Åland United,60682,60532,3,2,H,b0_base_rate,2026-03-30,0.5222222222222223,0.13333333333333333,0.34444444444444444
4042990,2026-04-02,M1,2026,1,Jalkapalloseura Tampere United,FC Jazz Juniorit,106945,60521,4,0,H,b0_base_rate,2026-03-30,0.5185185185185185,0.19135802469135801,0.29012345679012347
4038044,2026-04-03,M1L,2026,1,Pallokerho-35,Ekenäs Idrottsförening,50775,60495,4,2,H,b0_base_rate,2026-03-30,0.42962962962962964,0.25925925925925924,0.3111111111111111
4038183,2026-04-03,NL,2026,1,Ilves,Idrottsföreningen Kamraterna Vasa,60776,60691,3,0,H,b0_base_rate,2026-03-30,0.5222222222222223,0.13333333333333333,0.34444444444444444
4036855,2026-04-04,VL,2026,1,Ilves,Kuopion Palloseura,60745,60756,1,3,A,b0_base_rate,2026-03-30,0.4067796610169492,0.22598870056497175,0.3672316384180791
4042993,2026-04-04,M1,2026,1,Pallokerho Keski-Uusimaa,KPV Juniorit,60929,60536,2,2,D,b0_base_rate,2026-03-30,0.5185185185185185,0.19135802469135801,0.29012345679012347
4042991,2026-04-04,M1,2026,1,Salon Palloilijat,Rovaniemen Palloseura,60690,60973,1,1,D,b0_base_rate,2026-03-30,0.5185185185185185,0.19135802469135801,0.29012345679012347
4036857,2026-04-04,VL,2026,1,IF Gnistan,Oulun edustusjalkapallo AC Oulu,60534,60493,1,5,A,b0_base_rate,2026-03-30,0.4067796610169492,0.22598870056497175,0.3672316384180791
4036856,2026-04-04,VL,2026,1,Fotbollsföreningen JARO Jalkapalloseura,FC Lahti,60974,60969,0,1,A,b0_base_rate,2026-03-30,0.4067796610169492,0.22598870056497175,0.3672316384180791
4036854,2026-04-04,VL,2026,1,IFK Mariehamn Fotboll,TPS Juniorijalkapallo,60759,60971,1,1,D,b0_base_rate,2026-03-30,0.4067796610169492,0.22598870056497175,0.3672316384180791
4036853,2026-04-04,VL,2026,1,Helsingin Jalkapalloklubin Liiga-HJK,SEINÄJOEN JALKAPALLOKERHO,60731,60970,3,0,H,b0_base_rate,2026-03-30,0.4067796610169492,0.22598870056497175,0.3672316384180791
4038184,2026-04-04,NL,2026,1,IF Gnistan,Helsingin Palloseura,35209545,60781,1,2,A,b0_base_rate,2026-03-30,0.5222222222222223,0.13333333333333333,0.34444444444444444
4042992,2026-04-04,M1,2026,1,Tampereen Pallo-Veikot,Vantaan Jalkapalloseura,60704,63440,3,1,H,b0_base_rate,2026-03-30,0.5185185185185185,0.19135802469135801,0.29012345679012347
4038185,2026-04-04,NL,2026,1,Kuopion Palloseura,PK-35 Vantaa,157420,60671,3,1,H,b0_base_rate,2026-03-30,0.5222222222222223,0.13333333333333333,0.34444444444444444
4036852,2026-04-04,VL,2026,1,Football Club International Turku,Vaasan Palloseura,60987,60901,0,0,D,b0_base_rate,2026-03-30,0.4067796610169492,0.22598870056497175,0.3672316384180791
4042994,2026-04-05,M1,2026,1,Football Club International Turku,JJK Jyväskylä,60860,144858,3,5,A,b0_base_rate,2026-03-30,0.5185185185185185,0.19135802469135801,0.29012345679012347
4042995,2026-04-05,M1,2026,1,Kuopion Palloseura,Oulun Luistinseura,106331,106449,2,4,A,b0_base_rate,2026-03-30,0.5185185185185185,0.19135802469135801,0.29012345679012347
