season,league_code,league_name,competition_id,group_id,group_name,round,match_id,date,time,home_team_id,home_team,away_team_id,away_team,home_goals,away_goals,ht_home,ht_away,status,result
2026,NL,Kansallinen Liiga (women),spljp26,1,Runkosarja,13,4038178,2026-03-28,14:00:00,60691,Idrottsföreningen Kamraterna Vasa,60682,Helsingin Jalkapalloklubi,0,3,0,0,Played,A
2026,NL,Kansallinen Liiga (women),spljp26,1,Runkosarja,13,4038180,2026-03-28,16:00:00,157420,Kuopion Palloseura,60781,Helsingin Palloseura,0,0,0,0,Played,D
2026,NL,Kansallinen Liiga (women),spljp26,1,Runkosarja,13,4038181,2026-03-28,17:00:00,60532,Åland United,35209545,IF Gnistan,6,1,2,1,Played,H
2026,NL,Kansallinen Liiga (women),spljp26,1,Runkosarja,13,4038179,2026-03-28,19:00:00,60776,Ilves,60671,PK-35 Vantaa,2,5,1,2,Played,A
2026,NL,Kansallinen Liiga (women),spljp26,1,Runkosarja,14,4038182,2026-04-02,19:00:00,60682,Helsingin Jalkapalloklubi,60532,Åland United,3,2,0,0,Played,H
2026,NL,Kansallinen Liiga (women),spljp26,1,Runkosarja,14,4038183,2026-04-03,15:00:00,60776,Ilves,60691,Idrottsföreningen Kamraterna Vasa,3,0,1,0,Played,H
2026,NL,Kansallinen Liiga (women),spljp26,1,Runkosarja,14,4038184,2026-04-04,14:00:00,35209545,IF Gnistan,60781,Helsingin Palloseura,1,2,0,0,Played,A
2026,NL,Kansallinen Liiga (women),spljp26,1,Runkosarja,14,4038185,2026-04-04,15:00:00,157420,Kuopion Palloseura,60671,PK-35 Vantaa,3,1,2,1,Played,H
2026,NL,Kansallinen Liiga (women),spljp26,1,Runkosarja,17,4038186,2026-04-24,19:00:00,60671,PK-35 Vantaa,35209545,IF Gnistan,2,3,2,2,Played,A
2026,NL,Kansallinen Liiga (women),spljp26,1,Runkosarja,17,4038187,2026-04-25,14:00:00,60781,Helsingin Palloseura,60532,Åland United,1,0,0,0,Played,H
2026,NL,Kansallinen Liiga (women),spljp26,1,Runkosarja,17,4038188,2026-04-25,16:00:00,60682,Helsingin Jalkapalloklubi,60776,Ilves,2,1,0,1,Played,H
2026,NL,Kansallinen Liiga (women),spljp26,1,Runkosarja,17,4038189,2026-04-25,18:00:00,60691,Idrottsföreningen Kamraterna Vasa,157420,Kuopion Palloseura,1,2,0,0,Played,A
2026,NL,Kansallinen Liiga (women),spljp26,1,Runkosarja,18,4038190,2026-05-02,14:00:00,35209545,IF Gnistan,60691,Idrottsföreningen Kamraterna Vasa,6,0,1,0,Played,H
2026,NL,Kansallinen Liiga (women),spljp26,1,Runkosarja,18,4038191,2026-05-02,14:00:00,157420,Kuopion Palloseura,60682,Helsingin Jalkapalloklubi,2,1,1,0,Played,H
2026,NL,Kansallinen Liiga (women),spljp26,1,Runkosarja,18,4038192,2026-05-03,14:00:00,60781,Helsingin Palloseura,60671,PK-35 Vantaa,2,0,1,0,Played,H
2026,NL,Kansallinen Liiga (women),spljp26,1,Runkosarja,18,4038193,2026-05-03,17:00:00,60532,Åland United,60776,Ilves,4,1,3,1,Played,H
2026,NL,Kansallinen Liiga (women),spljp26,1,Runkosarja,19,4038195,2026-05-09,14:00:00,60671,PK-35 Vantaa,60532,Åland United,0,5,0,1,Played,A
2026,NL,Kansallinen Liiga (women),spljp26,1,Runkosarja,19,4038194,2026-05-09,14:00:00,60776,Ilves,157420,Kuopion Palloseura,2,3,1,1,Played,A
2026,NL,Kansallinen Liiga (women),spljp26,1,Runkosarja,19,4038196,2026-05-09,16:00:00,60682,Helsingin Jalkapalloklubi,35209545,IF Gnistan,5,0,2,0,Played,H
2026,NL,Kansallinen Liiga (women),spljp26,1,Runkosarja,19,4038197,2026-05-10,14:00:00,60691,Idrottsföreningen Kamraterna Vasa,60781,Helsingin Palloseura,2,3,0,1,Played,A
2026,NL,Kansallinen Liiga (women),spljp26,1,Runkosarja,20,4038198,2026-05-17,13:00:00,35209545,IF Gnistan,60776,Ilves,2,3,2,1,Played,A
2026,NL,Kansallinen Liiga (women),spljp26,1,Runkosarja,20,4038199,2026-05-17,15:00:00,60671,PK-35 Vantaa,60691,Idrottsföreningen Kamraterna Vasa,2,1,2,1,Played,H
2026,NL,Kansallinen Liiga (women),spljp26,1,Runkosarja,20,4038200,2026-05-17,17:00:00,60532,Åland United,157420,Kuopion Palloseura,1,6,1,2,Played,A
2026,NL,Kansallinen Liiga (women),spljp26,1,Runkosarja,20,4038201,2026-05-17,17:00:00,60781,Helsingin Palloseura,60682,Helsingin Jalkapalloklubi,1,2,0,2,Played,A
2026,NL,Kansallinen Liiga (women),spljp26,1,Runkosarja,21,4038205,2026-05-21,17:00:00,60691,Idrottsföreningen Kamraterna Vasa,60532,Åland United,0,2,0,1,Played,A
2026,NL,Kansallinen Liiga (women),spljp26,1,Runkosarja,21,4038203,2026-05-22,18:30:00,157420,Kuopion Palloseura,35209545,IF Gnistan,2,1,0,0,Played,H
2026,NL,Kansallinen Liiga (women),spljp26,1,Runkosarja,21,4038202,2026-05-22,19:00:00,60776,Ilves,60781,Helsingin Palloseura,1,0,0,0,Played,H
2026,NL,Kansallinen Liiga (women),spljp26,1,Runkosarja,21,4038204,2026-05-23,14:00:00,60682,Helsingin Jalkapalloklubi,60671,PK-35 Vantaa,5,0,3,0,Played,H
2026,NL,Kansallinen Liiga (women),spljp26,1,Runkosarja,22,4038206,2026-05-29,18:30:00,60682,Helsingin Jalkapalloklubi,60691,Idrottsföreningen Kamraterna Vasa,4,0,1,0,Played,H
2026,NL,Kansallinen Liiga (women),spljp26,1,Runkosarja,22,4038209,2026-05-29,18:30:00,60781,Helsingin Palloseura,157420,Kuopion Palloseura,3,2,1,2,Played,H
2026,NL,Kansallinen Liiga (women),spljp26,1,Runkosarja,22,4038207,2026-05-31,14:00:00,35209545,IF Gnistan,60532,Åland United,1,4,0,3,Played,A
2026,NL,Kansallinen Liiga (women),spljp26,1,Runkosarja,22,4038208,2026-05-31,15:00:00,60671,PK-35 Vantaa,60776,Ilves,0,2,0,2,Played,A
2026,NL,Kansallinen Liiga (women),spljp26,1,Runkosarja,24,4038210,2026-06-12,18:30:00,60671,PK-35 Vantaa,157420,Kuopion Palloseura,1,2,0,1,Played,A
2026,NL,Kansallinen Liiga (women),spljp26,1,Runkosarja,24,4038211,2026-06-12,19:00:00,60532,Åland United,60682,Helsingin Jalkapalloklubi,2,3,1,2,Played,A
2026,NL,Kansallinen Liiga (women),spljp26,1,Runkosarja,24,4038212,2026-06-13,17:00:00,60781,Helsingin Palloseura,35209545,IF Gnistan,4,0,1,0,Played,H
2026,NL,Kansallinen Liiga (women),spljp26,1,Runkosarja,24,4038213,2026-06-14,14:00:00,60691,Idrottsföreningen Kamraterna Vasa,60776,Ilves,0,3,0,1,Played,A
2026,NL,Kansallinen Liiga (women),spljp26,1,Runkosarja,26,4038214,2026-06-27,15:00:00,35209545,IF Gnistan,60671,PK-35 Vantaa,3,0,2,0,Played,H
2026,NL,Kansallinen Liiga (women),spljp26,1,Runkosarja,26,4038215,2026-06-27,15:00:00,157420,Kuopion Palloseura,60691,Idrottsföreningen Kamraterna Vasa,5,1,2,0,Played,H
2026,NL,Kansallinen Liiga (women),spljp26,1,Runkosarja,26,4038216,2026-06-27,18:30:00,60776,Ilves,60682,Helsingin Jalkapalloklubi,1,3,0,3,Played,A
2026,NL,Kansallinen Liiga (women),spljp26,1,Runkosarja,26,4038217,2026-06-28,17:00:00,60532,Åland United,60781,Helsingin Palloseura,0,0,0,0,Played,D
2026,NL,Kansallinen Liiga (women),spljp26,1,Runkosarja,27,4038219,2026-07-04,14:00:00,60671,PK-35 Vantaa,60781,Helsingin Palloseura,0,1,0,0,Played,A
2026,NL,Kansallinen Liiga (women),spljp26,1,Runkosarja,27,4038218,2026-07-04,15:00:00,60776,Ilves,60532,Åland United,0,2,0,1,Played,A
2026,NL,Kansallinen Liiga (women),spljp26,1,Runkosarja,27,4038220,2026-07-04,17:00:00,60682,Helsingin Jalkapalloklubi,157420,Kuopion Palloseura,2,0,2,0,Played,H
2026,NL,Kansallinen Liiga (women),spljp26,1,Runkosarja,27,4038221,2026-07-05,16:00:00,60691,Idrottsföreningen Kamraterna Vasa,35209545,IF Gnistan,0,1,0,1,Played,A
2026,NL,Kansallinen Liiga (women),spljp26,1,Runkosarja,28,4038223,2026-07-12,15:00:00,60781,Helsingin Palloseura,60691,Idrottsföreningen Kamraterna Vasa,1,1,0,1,Played,D
2026,NL,Kansallinen Liiga (women),spljp26,1,Runkosarja,28,4038222,2026-07-12,15:00:00,157420,Kuopion Palloseura,60776,Ilves,2,4,0,1,Played,A
2026,NL,Kansallinen Liiga (women),spljp26,1,Runkosarja,28,4038224,2026-07-12,16:00:00,35209545,IF Gnistan,60682,Helsingin Jalkapalloklubi,0,1,0,0,Played,A
2026,NL,Kansallinen Liiga (women),spljp26,1,Runkosarja,28,4038225,2026-07-12,18:00:00,60532,Åland United,60671,PK-35 Vantaa,4,1,4,0,Played,H
2026,NL,Kansallinen Liiga (women),spljp26,1,Runkosarja,29,4038226,2026-07-18,14:00:00,60776,Ilves,35209545,IF Gnistan,2,2,1,0,Played,D
2026,NL,Kansallinen Liiga (women),spljp26,1,Runkosarja,29,4038227,2026-07-18,15:00:00,157420,Kuopion Palloseura,60532,Åland United,1,3,1,1,Played,A
2026,NL,Kansallinen Liiga (women),spljp26,1,Runkosarja,29,4038228,2026-07-19,14:00:00,60691,Idrottsföreningen Kamraterna Vasa,60671,PK-35 Vantaa,1,1,0,1,Played,D
2026,NL,Kansallinen Liiga (women),spljp26,1,Runkosarja,29,4038229,2026-07-19,16:00:00,60682,Helsingin Jalkapalloklubi,60781,Helsingin Palloseura,4,0,1,0,Played,H
2026,NL,Kansallinen Liiga (women),spljp26,1,Runkosarja,30,4038230,2026-07-25,12:00:00,60532,Åland United,60691,Idrottsföreningen Kamraterna Vasa,,,,,Fixture,
2026,NL,Kansallinen Liiga (women),spljp26,1,Runkosarja,30,4038231,2026-07-25,14:00:00,60671,PK-35 Vantaa,60682,Helsingin Jalkapalloklubi,,,,,Fixture,
2026,NL,Kansallinen Liiga (women),spljp26,1,Runkosarja,30,4038233,2026-07-25,14:00:00,35209545,IF Gnistan,157420,Kuopion Palloseura,,,,,Fixture,
2026,NL,Kansallinen Liiga (women),spljp26,1,Runkosarja,30,4038232,2026-07-25,14:00:00,60781,Helsingin Palloseura,60776,Ilves,,,,,Fixture,
