season,league_code,league_name,competition_id,group_id,group_name,round,match_id,date,time,home_team_id,home_team,away_team_id,away_team,home_goals,away_goals,ht_home,ht_away,status,result
2026,M2,Miesten Kakkonen (M4),spljp26,2,Lohko B,23,4057786,2026-06-04,18:30:00,60996,Idrottsföreningen Kamraterna i Åbo,107307,Pallo-Iirot,1,0,1,0,Live,H
2026,M2,Miesten Kakkonen (M4),spljp26,1,Lohko A,23,4057694,2026-06-04,19:00:00,61010,Pepo Lappeenranta,61562,Lahden Reipas,0,1,0,1,Live,A
