match_id,league_code,country,date,hg,ag,lam_h,lam_a,rho,known
206092-1-hamkam,NO-ELI,NOR,2026-03-14,2,1,1.3235519644062317,1.9455069473130135,-0.01069870312292901,True
206092-1-molde,NO-ELI,NOR,2026-03-14,2,0,1.7962354539745535,1.1830474119139183,-0.01069870312292901,True
206092-1-kristiansund,NO-ELI,NOR,2026-03-15,3,2,1.3146956739412263,1.9331148163133316,-0.01069870312292901,True
206092-1-kfum,NO-ELI,NOR,2026-03-15,2,0,1.5023860775270017,1.147355620710559,-0.01069870312292901,False
206092-1-v-lerenga,NO-ELI,NOR,2026-03-15,1,0,1.6688897240026261,1.5638482906391102,-0.01069870312292901,True
206092-1-aalesund,NO-ELI,NOR,2026-03-15,1,3,1.7706931316352168,1.2677125271032665,-0.01069870312292901,False
206092-1-troms,NO-ELI,NOR,2026-03-15,4,0,1.4334880037080067,0.765717348149173,-0.01069870312292901,True
206119-1-molde,NO-TS,NOR,2026-03-20,0,5,0.7478231906019783,2.7582364229221694,-0.004521138037566197,False
206119-1-bod-glimt,NO-TS,NOR,2026-03-20,0,0,1.3603134684975222,1.262630379865682,-0.004521138037566197,True
206119-1-lsk-kvinner,NO-TS,NOR,2026-03-21,1,3,2.189425081917452,0.9670748213534806,-0.004521138037566197,True
206092-2-viking,NO-ELI,NOR,2026-03-21,4,1,2.3488036465600235,1.013467698667733,0.025646171393003635,True
206092-2-start,NO-ELI,NOR,2026-03-21,1,1,1.7235313646535386,1.1693633661759197,0.025646171393003635,True
206119-1-rosenborg-bk,NO-TS,NOR,2026-03-21,1,1,2.3186410317074784,0.9378163169419507,-0.004521138037566197,False
206107-1-grei,NO-1DK,NOR,2026-03-21,0,1,1.3958447819679716,1.571593051636356,-0.4756030335320751,False
206107-1-troms-il,NO-1DK,NOR,2026-03-21,3,0,2.109544396311428,1.6546653028894933,-0.4756030335320751,False
206107-1-bryne,NO-1DK,NOR,2026-03-21,0,4,2.066631849925249,1.1672013477049585,-0.4756030335320751,False
206107-1-arna-bj-rnar,NO-1DK,NOR,2026-03-21,1,0,2.5070539081945205,1.0469780005357292,-0.4756030335320751,True
206119-1-stab-k,NO-TS,NOR,2026-03-21,0,1,1.7790033830432033,0.907513183337637,-0.004521138037566197,True
206119-1-v-lerenga-fotball,NO-TS,NOR,2026-03-21,0,2,2.470141344387519,0.7505133064375613,-0.004521138037566197,False
206107-1-klepp,NO-1DK,NOR,2026-03-22,1,2,1.66168725063358,1.3274389100850876,-0.4756030335320751,False
206092-2-sandefjord-fotball,NO-ELI,NOR,2026-03-22,0,2,2.2079928304459813,1.0643096518311561,0.025646171393003635,True
206092-2-fredrikstad,NO-ELI,NOR,2026-03-22,3,1,1.2034263470165971,0.9455075355357492,0.025646171393003635,True
206092-2-brann,NO-ELI,NOR,2026-03-22,1,2,1.5354517374840388,1.5593994606914903,0.025646171393003635,True
206092-2-rosenborg,NO-ELI,NOR,2026-03-22,0,2,1.745644545371056,1.2280935662358134,0.025646171393003635,True
206107-1-fyllingsdalen,NO-1DK,NOR,2026-03-22,1,3,1.2598199521767035,1.0189109521208888,-0.4756030335320751,True
4038181,NL,FIN,2026-03-28,6,1,2.415384735421051,1.311344673073844,0.13391703998660984,False
4038180,NL,FIN,2026-03-28,0,0,2.901654764812211,1.1483229497766645,0.13391703998660984,True
4038178,NL,FIN,2026-03-28,0,3,0.46685885306460784,3.6844998299709752,0.13391703998660984,True
206107-2-ik-start-kvinner,NO-1DK,NOR,2026-03-28,2,0,2.844276189558016,0.6474363900257044,-0.20075246487061263,True
206107-2-viking,NO-1DK,NOR,2026-03-28,0,0,1.4762152898535124,1.9481155752318056,-0.20075246487061263,True
206107-2-sane,NO-1DK,NOR,2026-03-28,7,0,2.2006300977385758,0.8348196832824574,-0.20075246487061263,True
4038179,NL,FIN,2026-03-28,2,5,2.1293277515924864,1.5571531823070441,0.13391703998660984,False
6536337,SW-EE,SWE,2026-03-28,1,2,2.370969201342696,1.106239825589387,0.09386906517109862,False
6536332,SW-EE,SWE,2026-03-28,2,4,0.8697834018057818,2.280592779237455,0.09386906517109862,True
6536338,SW-EE,SWE,2026-03-28,2,1,1.5460781866273898,1.0857832589043943,0.09386906517109862,False
6536334,SW-EE,SWE,2026-03-28,2,3,1.5248338923490978,1.3794062363997956,0.09386906517109862,False
206119-2-sk-brann,NO-TS,NOR,2026-03-28,1,1,2.405169376379448,0.9093721550588911,-0.043345261792315036,True
206119-2-lyn,NO-TS,NOR,2026-03-28,1,1,1.5832666004899554,1.9402409325404975,-0.043345261792315036,True
