country,league_code,goles,empates,localia,over25,sd_dg,n,cluster
FIN,M1,3.4814814814814814,0.19135802469135801,0.22839506172839502,0.691358024691358,2.254050873785884,162,C2
FIN,M1L,3.2814814814814817,0.25925925925925924,0.11851851851851852,0.6370370370370371,1.7182080217395534,135,C2
FIN,M2,4.339449541284404,0.11926605504587157,0.15902140672782872,0.7981651376146789,3.213753487467367,327,C1
FIN,NL,3.7906976744186047,0.12790697674418605,0.19767441860465113,0.686046511627907,3.1611527101531087,86,C1
FIN,VL,3.2937853107344632,0.22598870056497175,0.03954802259887008,0.6666666666666666,1.8384448051245568,177,C2
NOR,NO-1DK,3.212121212121212,0.2196969696969697,0.1893939393939394,0.6136363636363636,2.1470894393049256,132,C2
NOR,NO-ELI,3.175,0.1875,0.17083333333333328,0.625,2.101188479527551,240,C2
NOR,NO-OBOS,3.1958333333333333,0.2625,0.07083333333333336,0.6333333333333333,2.0326784618891827,240,C2
NOR,NO-PN1,3.3736263736263736,0.2967032967032967,0.2197802197802198,0.6263736263736264,1.9175209644909594,182,C2
NOR,NO-PN2,3.681318681318681,0.13736263736263737,0.14835164835164832,0.7142857142857143,2.1008222079380143,182,C2
NOR,NO-TS,3.1925925925925926,0.14074074074074075,0.10370370370370369,0.6074074074074074,2.7028637843620467,135,C2
SWE,SW-AL,2.845833333333333,0.22083333333333333,0.02083333333333337,0.5166666666666667,1.8594954025278772,240,C2
SWE,SW-DA,3.32967032967033,0.13736263736263737,0.07142857142857145,0.6758241758241759,2.420667693143063,182,C2
SWE,SW-EE,3.21978021978022,0.17032967032967034,0.07142857142857145,0.6428571428571429,2.3102772238831,182,C2
SWE,SW-EN,3.3625,0.2,0.11666666666666664,0.6375,1.971515251002953,240,C2
SWE,SW-ES,3.033333333333333,0.22083333333333333,0.13749999999999996,0.6166666666666667,2.1191824954669296,240,C2
SWE,SW-SE,2.8583333333333334,0.2708333333333333,0.11249999999999999,0.5583333333333333,1.8065238972548519,240,C2
